codigo,placa,linha,latitude,longitude,dataHora,velocidade,id_migracao_trajeto,sentido,trajeto,timestamp_captura
13416,LTL5479,50,-23.006591666666665,-43.314315,2021-02-24 10:19:44,0,3310,ida,50 - J.OCEÂNICO x TERMINAL OLIMPICO (PARADOR),2021-02-24 17:17:36.734128
86878,LSZ6142,0,-22.919463333333333,-43.607625,2021-02-23 00:06:47,0,,,,2021-02-24 17:17:36.734128
86828,KXY8006,10,-22.920463333333334,-43.60776666666667,2021-02-24 06:08:18,0,106,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),2021-02-24 17:17:36.734128
13418,KWI9709,42A,-22.839873333333333,-43.23950166666667,2021-02-24 12:46:30,0,9447,ida,42A - GALEÃO X MADUREIRA (PARADOR),2021-02-24 17:17:36.734128
86815,LTZ4231,13,-22.920191666666668,-43.608261666666664,2021-02-21 16:33:11,0,112,ida,13 - MATO ALTO X ALVORADA ( EXPRESSO ),2021-02-24 17:17:36.734128
47017,LRS2841,19,-23.000685,-43.36710333333333,2021-02-24 13:06:34,0,124,ida,19 - PINGO D'AGUA X SALVADOR ALLENDE ( EXPRESSO ),2021-02-24 17:17:36.734128
86839,KRW2134,27,-22.99647,-43.593765,2021-02-24 13:16:48,53,8935,ida,27 - MATO ALTO - SALVADOR ALLENDE (PARADOR),2021-02-24 17:17:36.734128
86859,KWJ9250,10,-22.920353333333335,-43.607351666666666,2021-02-24 12:47:42,1,106,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),2021-02-24 17:17:36.734128
30506,LRC6583,35A,-22.879811666666665,-43.341683333333336,2021-02-24 13:16:48,32,9431,volta,35A -  JARDIM OCEÂNICO X MADUREIRA,2021-02-24 17:17:36.734128
30509,KYM4574,20,-23.002136666666665,-43.365451666666665,2021-02-24 08:55:48,0,122,ida,20 - SANTA CRUZ X SALVADOR ALLENDE ( EXPRESSO ),2021-02-24 17:17:36.734128
47008,KPY9735,0,-22.964873333333333,-43.391331666666666,2021-02-24 13:08:31,2,,,,2021-02-24 17:17:36.734128
86866,LRK8428,12,-22.920625,-43.607945,2021-02-24 12:59:44,0,120,ida,12 - PINGO D'AGUA X ALVORADA ( EXPRESSO ),2021-02-24 17:17:36.734128
86888,KRQ6879,20,-22.919941666666666,-43.607625,2021-02-13 02:48:09,0,122,ida,20 - SANTA CRUZ X SALVADOR ALLENDE ( EXPRESSO ),2021-02-24 17:17:36.734128
86813,KOU4403,27,-22.920106666666666,-43.60776,2020-11-05 12:03:22,1,8935,ida,27 - MATO ALTO - SALVADOR ALLENDE (PARADOR),2021-02-24 17:17:36.734128
13410,KWI9716,10,-22.96451,-43.39205833333333,2021-01-22 14:41:55,0,106,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),2021-02-24 17:17:36.734128
86816,LLR4368,12,-22.92032,-43.60843166666667,2020-12-18 10:21:51,0,120,ida,12 - PINGO D'AGUA X ALVORADA ( EXPRESSO ),2021-02-24 17:17:36.734128
12721,KXW7973,20,-22.943075,-43.661775,2021-02-24 13:15:11,44,122,ida,20 - SANTA CRUZ X SALVADOR ALLENDE ( EXPRESSO ),2021-02-24 17:17:36.734128
12717,LMJ0073,27,-22.91916,-43.60718166666667,2021-02-24 12:48:54,0,8935,ida,27 - MATO ALTO - SALVADOR ALLENDE (PARADOR),2021-02-24 17:17:36.734128
12728,LMJ3938,35A,-22.892265,-43.347896666666664,2021-02-24 13:16:38,20,9431,volta,35A -  JARDIM OCEÂNICO X MADUREIRA,2021-02-24 17:17:36.734128
12710,KRO9724,35A,-22.983425,-43.365635,2021-02-24 13:09:00,0,9431,volta,35A -  JARDIM OCEÂNICO X MADUREIRA,2021-02-24 17:17:36.734128
12729,LMJ1623,10,-22.920045,-43.60769,2020-10-21 22:48:31,0,106,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),2021-02-24 17:17:36.734128
12720,KXD9430,37,-22.92015,-43.60823333333333,2021-02-24 12:31:14,0,9324,ida,37 - Tanque x Alvorada,2021-02-24 17:17:36.734128
86802,KQK8699,10,-22.919688333333333,-43.60816333333333,2021-02-21 06:42:05,0,106,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),2021-02-24 17:17:36.734128
12712,LSN8501,46,-22.854323333333333,-43.25183833333333,2021-02-24 13:09:07,0,144,ida,46- PENHA X ALVORADA ( EXPRESSO ),2021-02-24 17:17:36.734128
13407,KPY9732,20,-22.965688333333333,-43.39124833333333,2021-02-20 23:43:16,0,123,volta,20 - SALVADOR ALLENDE X SANTA CRUZ ( EXPRESSO ),2021-02-24 17:17:36.734128
12722,KXD8485,12,-22.92012666666667,-43.608223333333335,2020-10-22 08:59:37,0,120,ida,12 - PINGO D'AGUA X ALVORADA ( EXPRESSO ),2021-02-24 17:17:36.734128
30510,KYM4575,46,-22.96484,-43.39199333333333,2021-02-22 16:26:17,0,145,volta,46 - ALVORADA X PENHA ( EXPRESSO ),2021-02-24 17:17:36.734128
12735,LSQ4232,12,-22.919556666666665,-43.60763,2021-02-24 12:47:51,0,120,ida,12 - PINGO D'AGUA X ALVORADA ( EXPRESSO ),2021-02-24 17:17:36.734128
30512,KPV2252,0,-22.965036666666666,-43.39116166666667,2021-02-24 13:11:37,0,,,,2021-02-24 17:17:36.734128
86891,KRQ6876,10,-23.000966666666667,-43.366405,2021-02-24 13:07:25,0,107,volta,10 - ALVORADA X SANTA CRUZ ( EXPRESSO ),2021-02-24 17:17:36.734128
86818,KOU4404,12,-22.920223333333333,-43.608626666666666,2020-10-15 17:26:31,0,120,ida,12 - PINGO D'AGUA X ALVORADA ( EXPRESSO ),2021-02-24 17:17:36.734128
30525,LRC6596,41,-22.877918333333334,-43.33629166666667,2021-02-24 13:16:52,0,3543,volta,41 - TERMINAL MADUREIRA X RECREIO (EXPRESSO),2021-02-24 17:17:36.734128
86865,KRI3470,19,-23.000666666666667,-43.36459333333333,2020-11-28 12:31:11,0,124,ida,19 - PINGO D'AGUA X SALVADOR ALLENDE ( EXPRESSO ),2021-02-24 17:17:36.734128
86807,KVR8303,19,-22.919851666666666,-43.60745,2021-01-10 11:22:49,0,124,ida,19 - PINGO D'AGUA X SALVADOR ALLENDE ( EXPRESSO ),2021-02-24 17:17:36.734128
47019,KWZ8629,11N,-22.96067,-43.39150333333333,2021-02-24 02:11:18,28,104,ida,11N - SANTA CRUZ X ALVORADA,2021-02-24 17:17:36.734128
47023,LSQ5268,11N,-22.965361666666666,-43.39167,2021-02-24 03:22:00,0,104,ida,11N - SANTA CRUZ X ALVORADA,2021-02-24 17:17:36.734128
86814,KOS3161,13,-23.000685,-43.367035,2021-02-24 13:08:06,0,113,volta,13- ALVORADA X  MATO ALTO ( EXPRESSO ),2021-02-24 17:17:36.734128
86811,LQG3864,12,-23.000801666666668,-43.366101666666665,2021-02-24 13:09:34,0,121,volta,12 - ALVORADA X PINGO D'AGUA ( EXPRESSO ),2021-02-24 17:17:36.734128
27207,LSL9106,10,-22.999511666666667,-43.582211666666666,2021-02-21 19:35:46,54,106,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),2021-02-24 17:17:36.734128
E86877,KQK8702,5801A1,-22.920788333333334,-43.608018333333334,2020-06-16 18:14:24,0,120,ida,12 - PINGO D'AGUA X ALVORADA ( EXPRESSO ),2021-02-24 17:17:36.734128
27212,LSL9111,13,-23.000648333333334,-43.36507833333334,2021-02-24 13:10:19,0,113,volta,13- ALVORADA X  MATO ALTO ( EXPRESSO ),2021-02-24 17:17:36.734128
12703,LSM8771,35A,-23.00664,-43.311683333333335,2021-02-24 13:16:53,14,9431,volta,35A -  JARDIM OCEÂNICO X MADUREIRA,2021-02-24 17:17:36.734128
27175,KQP5436,51A,-22.85427333333333,-43.25176666666667,2021-02-24 13:08:00,0,9161,ida,51A - Vila Militar x Terminal Alvorada,2021-02-24 17:17:36.734128
27210,LSL9108,20,-22.920456666666666,-43.60785833333333,2021-02-24 13:04:16,0,122,ida,20 - SANTA CRUZ X SALVADOR ALLENDE ( EXPRESSO ),2021-02-24 17:17:36.734128
27173,LRK9559,35,-22.841223333333332,-43.239695,2020-09-16 03:25:02,18,108,ida,35 - MADUREIRA X ALVORADA ( PARADOR )- ida,2021-02-24 17:17:36.734128
30535,KXE7722,18,-22.964745,-43.39205833333333,2021-02-07 19:33:30,0,3626,ida,18 - RECREIO SHOPPING X JARDIM OCEÂNICO ( EXPRESSO ),2021-02-24 17:17:36.734128
